大区,省份,城市,行政区,酒店ID,酒店名称,酒店类型,上架状态,上架时间,是否会员店
华东,上海,上海,长宁区,295,上海虹桥雅高美爵酒店,五星/豪华,已上架,2019/5/20 17:57,是
华东,上海,上海,黄浦区,296,上海中港汇铂尔曼大酒店,五星/豪华,已上架,2019/5/17 20:40,是
华东,上海,上海,静安区,299,上海静安铂尔曼酒店,五星/豪华,已上架,2016/9/29 11:33,是
华东,上海,上海,静安区,301,上海宏安瑞士大酒店,五星/豪华,已上架,2018/12/19 15:02,是
华北,北京,北京,朝阳区,306,北京万达文华酒店,其他,已上架,2018/12/19 15:02,是
华东,上海,上海,浦东新区,307,上海浦东绿地假日酒店,四星/高档,已上架,2018/12/14 15:14,是
华东,上海,上海,长宁区,308,上海龙之梦大酒店,其他,已上架,2018/12/19 15:03,是
华东,上海,上海,浦东新区,312,上海大华锦绣皇冠假日酒店,五星/豪华,已上架,2018/12/19 15:10,是
华东,江苏,苏州,苏州工业园区,316,苏州洲际酒店,五星/豪华,已上架,2019/5/24 16:11,是
华东,上海,上海,浦东新区,332,上海锦江汤臣洲际大酒店,五星/豪华,已上架,2016/12/15 11:11,是
华东,上海,上海,静安区,334,上海静安洲际酒店,五星/豪华,已上架,2019/6/4 15:13,是
华东,浙江,杭州,上城区,336,杭州洲际酒店,五星/顶级,已上架,2019/4/9 14:40,是
华东,上海,上海,浦东新区,347,上海凯宾斯基大酒店,五星/豪华,已上架,2019/4/8 11:16,是
华东,上海,上海,浦东新区,354,上海浦东香格里拉大酒店,五星/豪华,已上架,2019/5/17 20:33,是
华东,上海,上海,长宁区,374,上海城中希尔顿酒店,五星/豪华,已上架,2016/9/29 11:33,是
华东,上海,上海,长宁区,415,上海虹桥雅高翰悦阁酒店,五星/豪华,已下架,2016/9/29 11:33,是
华东,浙江,杭州,萧山区,416,杭州宝盛水博园大酒店,其他,已上架,2019/2/27 10:42,是
华东,上海,上海,青浦区,418,上海太阳岛度假酒店,度假村,已上架,2019/2/22 11:31,是
华北,北京,北京,顺义区,422,北京首都机场东海康得思酒店,五星/豪华,已上架,2019/4/19 10:33,是
华南,广东,广州,天河区,424,广州东站城际酒店,其他,已上架,2016/9/29 11:22,是
华南,广东,广州,白云区,436,广州恒大酒店(金沙洲),其他,已上架,2018/12/12 16:40,是
华东,浙江,杭州,上城区,439,杭州中维歌德大酒店,其他,已上架,2019/1/3 18:11,是
华南,广东,广州,天河区,440,广州海航威斯汀酒店,五星/豪华,已上架,2019/2/18 14:03,是
华南,广东,广州,番禺区,443,广州星河湾半岛酒店,其他,已上架,2018/8/28 11:06,是
华南,广东,广州,花都区,451,广州白云机场铂尔曼大酒店,五星/豪华,已上架,2019/2/12 17:32,是